viewDate,areaMunKm,areaUcKm,uc,uf,municipio
5/23/2020,0.1,0,,AM,Jutai
7/15/2020,0.07,0.07,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
7/15/2020,0.07,0,,PA,Itaituba
7/15/2020,0.07,0,,PA,Itaituba
7/15/2020,0.08,0,,PA,Itaituba
7/15/2020,0.07,0,,PA,Itaituba
7/15/2020,0.08,0,,PA,Jacareacanga
7/15/2020,0.01,0,,PA,Jacareacanga
7/15/2020,0.02,0,,PA,Jacareacanga
7/15/2020,0.1,0,,PA,Itaituba
7/15/2020,0.07,0,,PA,Itaituba
7/15/2020,0.07,0,,PA,Itaituba
7/15/2020,0,0,,PA,Jacareacanga
7/15/2020,0,0,,PA,Jacareacanga
7/15/2020,0.06,0,,PA,Jacareacanga
7/15/2020,0.14,0,,PA,Itaituba
7/15/2020,0.03,0,,PA,Jacareacanga
7/15/2020,0.07,0,,PA,Itaituba
7/15/2020,0.12,0,,PA,Itaituba
7/15/2020,0.13,0,,PA,Itaituba
7/15/2020,0.09,0,,PA,Jacareacanga
7/15/2020,0.07,0,,PA,Jacareacanga
7/15/2020,0.07,0,,PA,Jacareacanga
7/15/2020,0.12,0,,PA,Jacareacanga
7/15/2020,0.11,0,,PA,Jacareacanga
7/15/2020,0.08,0.08,FLORESTA NACIONAL DE URUPADI,AM,Maues
7/15/2020,0.13,0,,MT,Matupa
7/15/2020,0.1,0,,PA,Itaituba
7/15/2020,0.08,0,,MT,Aripuana
7/14/2020,0.09,0,,AM,Jutai
7/12/2020,0.04,0,,PA,Trairao
7/12/2020,0.07,0.07,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
7/12/2020,0.07,0,,PA,Itaituba
7/12/2020,0.09,0,,PA,Itaituba
7/12/2020,0.11,0,,PA,Novo Progresso
7/12/2020,0.08,0,,PA,Novo Progresso
7/12/2020,0.07,0,,MT,Nova Guarita
9/13/2020,0.06,0,,RR,Mucajai
9/14/2020,0.09,0,,PA,Itaituba
9/14/2020,0.07,0,,PA,Itaituba
